price,num_bed,num_bath,property_size,km_from_cbd,suburb_lng,suburb_lat,suburb_population,suburb_median_income,type
2115000,3,2,227,3.91,151.24417,-33.88581,7405,71500,3
1902500,3,2,133,3.3,151.17428,-33.86465,8725,75764,3
1000000,4,3,669,24.05,150.95681,-33.91492,9001,35880,3
447000,3,1,575,40.43,150.80064,-33.73806,4752,24596,3
3000000,3,3,177,2.61,151.22781,-33.88334,12911,73944,3
1670000,3,1,196,3.63,151.18298,-33.88889,10341,46228,3
1050000,3,2,850,24.05,150.95681,-33.91492,9001,35880,3
1050000,5,3,847,24.05,150.95681,-33.91492,9001,35880,3
950000,3,1,841,26.88,151.15004,-33.62806,4721,44200,3
833000,3,1,679,24.05,150.95681,-33.91492,9001,35880,3
570000,3,2,632,61.6,151.42855,-33.34073,8355,33852,3
2800000,3,2,323,3.91,151.24417,-33.88581,7405,71500,3
1137000,5,2,860,17.67,151.05799,-33.96181,10539,31876,3
980000,3,3,917,26.88,151.15004,-33.62806,4721,44200,3
880000,5,3,798,32.83,150.88065,-33.75523,6440,40768,3
659000,4,2,523,47.8,150.74372,-34.05177,7193,40352,3
2100000,3,3,385,3.63,151.18298,-33.88889,10341,46228,3
905000,4,2,740,24.05,150.95681,-33.91492,9001,35880,3
685000,4,2,413,50.15,150.72519,-34.06839,4307,53196,3
1560000,2,1,208,3.3,151.17428,-33.86465,8725,75764,3
1200000,4,2,1137,39.78,151.34031,-33.52349,222,41964,3
640000,3,1,609,33.46,150.87007,-33.76242,13451,27612,3
580000,3,1,627,39.76,150.78794,-33.79794,19897,38896,3
535000,4,1,550,61.6,151.42855,-33.34073,8355,33852,3
1500000,3,1,726,7.99,151.16111,-33.8057,11436,57408,3
1357500,2,1,133,3.3,151.17428,-33.86465,8725,75764,3
500000,2,2,100,24.05,150.95681,-33.91492,9001,35880,0
2275000,3,2,127,2.61,151.22781,-33.88334,12911,73944,3
1915000,3,1,304,3.3,151.17428,-33.86465,8725,75764,3
1727000,3,1,304,4.57,151.16107,-33.87113,7616,58916,3
1640000,4,2,735,17.67,151.05799,-33.96181,10539,31876,3
1600000,3,2,600,16.58,151.28955,-33.73128,4767,45500,3
1590000,3,2,139,3.3,151.17428,-33.86465,8725,75764,9
1560000,4,2,490,16.58,151.28955,-33.73128,4767,45500,3
1403000,3,1,417,16.58,151.28955,-33.73128,4767,45500,3
745000,3,2,169,14.29,151.1214,-33.97075,10722,32656,0
2305000,5,4,639,15.28,151.07815,-33.94831,10156,30628,3
1755000,4,1,1688,16.58,151.28955,-33.73128,4767,45500,3
1646000,5,2,600,16.58,151.28955,-33.73128,4767,45500,3
1565000,2,1,303,4.57,151.16107,-33.87113,7616,58916,3
1560000,4,3,519,14.29,151.1214,-33.97075,10722,32656,3
815000,3,1,518,17.67,151.05799,-33.96181,10539,31876,3
2000000,4,3,185,4.57,151.16107,-33.87113,7616,58916,3
740000,4,2,588,46.81,150.76318,-34.06403,11703,43680,3
